epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4331,2.35146,3.69643,1.86365,0.00898,0.91111,0.04649,0.01874,1.74307,3.30237,1.40005,6.668e-05,6.668e-05,6.668e-05
2,4.24742,2.08972,3.63218,1.75894,0.0099,0.97778,0.13918,0.06905,1.62454,3.21518,1.28252,0.000147059,0.000147059,0.000147059
3,6.4473,1.9306,3.26594,1.59931,0.00921,0.91667,0.31387,0.16384,1.86816,3.0426,1.28087,0.000224138,0.000224138,0.000224138
4,8.12493,1.81649,2.68048,1.4554,0.00943,0.92778,0.25406,0.10501,1.88701,2.85183,1.2854,0.000297916,0.000297916,0.000297916
5,9.93127,1.81059,2.34548,1.43993,0.17864,0.61667,0.40085,0.20371,1.8336,2.53126,1.32496,0.000368394,0.000368394,0.000368394
6,11.764,1.75079,2.03275,1.37596,1,0.36483,0.57773,0.30907,1.83369,2.33162,1.28585,0.00043557,0.00043557,0.00043557
7,13.3119,1.6312,1.72087,1.32032,0.79218,0.37222,0.61768,0.3198,1.66256,2.24562,1.23553,0.000499447,0.000499447,0.000499447
8,15.2969,1.6867,1.63325,1.36531,0.84658,0.36784,0.6366,0.38185,1.47825,2.18448,1.18842,0.000560022,0.000560022,0.000560022
9,16.7575,1.69393,1.5738,1.33067,0.92074,0.4784,0.61808,0.34666,1.55198,2.17563,1.24535,0.000617297,0.000617297,0.000617297
10,18.7774,1.6635,1.51519,1.29744,0.76243,0.56916,0.65447,0.35762,1.6297,1.86531,1.26448,0.000671271,0.000671271,0.000671271
11,20.4883,1.50913,1.32992,1.23873,0.82987,0.50556,0.71902,0.43018,1.54282,1.55685,1.20395,0.000721944,0.000721944,0.000721944
12,21.8884,1.5863,1.4096,1.2652,0.77538,0.69493,0.78498,0.48403,1.45857,1.38452,1.1805,0.000769317,0.000769317,0.000769317
13,24.023,1.54387,1.32923,1.26717,0.80367,0.70844,0.78123,0.48952,1.4666,1.28824,1.19021,0.000813389,0.000813389,0.000813389
14,25.8152,1.57564,1.36621,1.28825,0.86275,0.68761,0.73578,0.43405,1.6119,1.32179,1.28412,0.000854161,0.000854161,0.000854161
15,27.7618,1.52068,1.34655,1.26378,0.87865,0.70556,0.83596,0.4674,1.7039,1.33322,1.32806,0.000891632,0.000891632,0.000891632
16,29.3195,1.53913,1.24787,1.24696,0.91788,0.74444,0.86651,0.48737,1.76058,1.38203,1.35032,0.000925802,0.000925802,0.000925802
17,31.3119,1.56638,1.31601,1.25948,0.68477,0.81667,0.84689,0.52148,1.69594,1.34951,1.37444,0.000956671,0.000956671,0.000956671
18,32.9343,1.58046,1.28546,1.26178,0.91329,0.65002,0.84299,0.52501,1.64686,1.31524,1.33379,0.00098424,0.00098424,0.00098424
19,35.0642,1.48382,1.18146,1.22885,0.85781,0.72222,0.83142,0.51937,1.58941,1.24416,1.31034,0.00100851,0.00100851,0.00100851
20,36.793,1.49295,1.24036,1.22203,0.76138,0.83333,0.83053,0.53001,1.49937,1.28555,1.23708,0.00102948,0.00102948,0.00102948
21,38.3823,1.50445,1.23687,1.24217,0.70165,0.87222,0.80499,0.5111,1.46885,1.24224,1.21618,0.00100687,0.00100687,0.00100687
22,40.3386,1.44743,1.21035,1.22989,0.77461,0.79444,0.81269,0.51067,1.48556,1.2062,1.24716,0.000973861,0.000973861,0.000973861
23,42.2004,1.47686,1.18996,1.20286,0.76461,0.81667,0.84954,0.50887,1.55946,1.13847,1.27904,0.000940855,0.000940855,0.000940855
24,43.9692,1.4345,1.22034,1.21371,0.91273,0.83889,0.92894,0.5567,1.5429,1.11211,1.2449,0.000907848,0.000907848,0.000907848
25,45.9902,1.3832,1.14774,1.19314,0.97002,0.79536,0.91931,0.57954,1.47383,1.0716,1.22303,0.000874842,0.000874842,0.000874842
26,47.979,1.37467,1.13924,1.17743,0.89945,0.83979,0.928,0.583,1.46074,1.05913,1.19681,0.000841835,0.000841835,0.000841835
27,49.8552,1.40549,1.14899,1.20298,0.91767,0.84441,0.94101,0.59983,1.40101,1.01126,1.15882,0.000808828,0.000808828,0.000808828
28,51.5121,1.35876,1.14409,1.19417,0.94138,0.80403,0.936,0.60545,1.3555,1.00472,1.16084,0.000775822,0.000775822,0.000775822
29,53.6903,1.38561,1.1099,1.16156,0.80723,0.9408,0.93275,0.61237,1.36708,1.01129,1.19172,0.000742815,0.000742815,0.000742815
30,55.5379,1.34702,1.10783,1.17165,0.81346,0.9175,0.93393,0.60258,1.35371,0.99212,1.1944,0.000709809,0.000709809,0.000709809
31,57.2674,1.37246,1.07893,1.18157,0.77098,0.92222,0.92956,0.58734,1.37126,1.00832,1.21207,0.000676802,0.000676802,0.000676802
32,58.8306,1.30335,1.1163,1.15615,0.75839,0.92222,0.91419,0.55481,1.43734,1.07415,1.20677,0.000643795,0.000643795,0.000643795
33,60.5732,1.30244,1.06693,1.13652,0.78796,0.93323,0.92141,0.55696,1.44465,1.06726,1.21653,0.000610789,0.000610789,0.000610789
34,62.0421,1.3386,1.03138,1.12345,0.82499,0.91642,0.9237,0.56208,1.40519,1.01929,1.21252,0.000577782,0.000577782,0.000577782
35,63.6591,1.26057,1.04158,1.14207,0.83538,0.89354,0.92774,0.58611,1.37814,0.9687,1.21718,0.000544776,0.000544776,0.000544776
36,65.1843,1.27862,1.0507,1.15154,0.89425,0.88718,0.94072,0.58534,1.35173,0.93766,1.19698,0.000511769,0.000511769,0.000511769
37,66.7662,1.33392,1.07833,1.15664,0.85568,0.91639,0.9476,0.57761,1.36632,0.95405,1.19977,0.000478762,0.000478762,0.000478762
38,68.5703,1.3059,1.002,1.14685,0.93962,0.83256,0.94863,0.58568,1.36585,0.95287,1.19434,0.000445756,0.000445756,0.000445756
39,70.2402,1.28856,1.02991,1.12838,0.92611,0.82169,0.94549,0.58721,1.34031,0.93787,1.17965,0.000412749,0.000412749,0.000412749
40,71.8081,1.25209,1.03411,1.14758,0.82601,0.95556,0.95972,0.59869,1.33659,0.92055,1.15543,0.000379743,0.000379743,0.000379743
41,73.694,1.22044,1.09908,1.14441,0.84962,0.94008,0.96401,0.57695,1.34945,0.92045,1.1517,0.000346736,0.000346736,0.000346736
42,75.7374,1.17602,1.07222,1.13065,0.87954,0.87807,0.96398,0.60496,1.34462,0.91577,1.14962,0.000313729,0.000313729,0.000313729
43,77.567,1.15826,1.06302,1.08659,0.97733,0.84114,0.96928,0.61055,1.33206,0.92663,1.15963,0.000280723,0.000280723,0.000280723
44,79.2548,1.1215,1.07426,1.09071,0.92267,0.89803,0.95766,0.63029,1.3539,0.94389,1.18602,0.000247716,0.000247716,0.000247716
45,81.2771,1.2059,1.05397,1.08325,0.94534,0.8647,0.95965,0.63819,1.34593,0.95324,1.18386,0.00021471,0.00021471,0.00021471
46,83.1006,1.10374,0.99318,1.09964,0.93498,0.86587,0.96095,0.64221,1.32905,0.95181,1.16527,0.000181703,0.000181703,0.000181703
47,84.7266,1.10074,1.06167,1.06902,0.91797,0.88035,0.96535,0.64823,1.32703,0.94171,1.15772,0.000148696,0.000148696,0.000148696
48,86.8985,1.05023,0.96377,1.06174,0.9491,0.87585,0.96847,0.65922,1.31439,0.9276,1.13661,0.00011569,0.00011569,0.00011569
49,88.8013,1.09496,0.98231,1.08142,0.94273,0.88004,0.9678,0.65184,1.30574,0.91868,1.12322,8.26832e-05,8.26832e-05,8.26832e-05
50,90.2801,1.06511,0.95656,1.05738,0.94417,0.88024,0.9668,0.64781,1.30012,0.92166,1.12073,4.96766e-05,4.96766e-05,4.96766e-05
