epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71073,2.08957,3.64059,1.72666,0.00666,0.94118,0.16728,0.10339,1.65453,3.12666,1.27667,3.334e-05,3.334e-05,3.334e-05
2,2.50449,1.93693,3.73502,1.68569,0.00676,0.94118,0.21063,0.14385,1.46497,3.1685,1.21606,8.16997e-05,8.16997e-05,8.16997e-05
3,3.38373,1.85139,3.63218,1.56683,0.00711,0.94118,0.33053,0.22839,1.31905,3.10323,1.05212,0.000128079,0.000128079,0.000128079
4,4.25279,1.44534,3.3004,1.32519,0.00724,0.94118,0.44166,0.26951,1.3318,3.13666,1.07221,0.000172478,0.000172478,0.000172478
5,5.12359,1.43317,2.97606,1.25104,0.00748,0.94118,0.37362,0.19221,1.42266,3.11458,1.12107,0.000214896,0.000214896,0.000214896
6,5.96035,1.44125,2.45315,1.20833,0.00748,0.97059,0.41523,0.20976,1.47553,2.99973,1.14875,0.000255334,0.000255334,0.000255334
7,6.81989,1.3234,2.20702,1.14256,0.00686,0.97059,0.65996,0.35457,1.43294,2.73383,1.0974,0.000293792,0.000293792,0.000293792
8,7.67912,1.33142,1.81027,1.16687,0.82177,0.60504,0.6754,0.41967,1.3118,2.56182,1.08677,0.000330269,0.000330269,0.000330269
9,8.51387,1.34237,1.61276,1.14157,1,0.56704,0.77079,0.56785,1.14961,2.24593,1.03605,0.000364766,0.000364766,0.000364766
10,9.35585,1.2493,1.42351,1.11441,0.98521,0.59148,0.80253,0.54913,1.20374,2.14939,1.02583,0.000397283,0.000397283,0.000397283
11,10.1905,1.3337,1.26005,1.15312,1,0.40993,0.85241,0.49204,1.36392,2.16805,1.04649,0.000427819,0.000427819,0.000427819
12,11.0129,1.18916,1.28422,1.12437,1,0.4171,0.85028,0.48466,1.37134,2.20338,1.03255,0.000456375,0.000456375,0.000456375
13,11.8526,1.21833,1.21067,1.11089,1,0.33755,0.82136,0.50825,1.29015,2.25261,1.01827,0.00048295,0.00048295,0.00048295
14,12.6749,1.19898,1.14812,1.10018,1,0.33771,0.84417,0.52603,1.30847,2.22659,1.00707,0.000507545,0.000507545,0.000507545
15,13.5038,1.2914,1.07671,1.10661,1,0.40396,0.91047,0.5223,1.42208,2.07636,1.04613,0.000530159,0.000530159,0.000530159
16,14.3119,1.26327,1.08426,1.09157,1,0.59742,0.9119,0.53664,1.42951,2.00034,1.0571,0.000550793,0.000550793,0.000550793
17,15.1375,1.26172,1.09493,1.08869,0.96384,0.78768,0.93582,0.58019,1.32425,1.77338,1.02511,0.000569447,0.000569447,0.000569447
18,15.9693,1.15021,1.09601,1.07,0.95524,0.76817,0.94783,0.61246,1.26849,1.65061,1.00662,0.000586121,0.000586121,0.000586121
19,16.8034,1.22592,1.01333,1.07882,0.89201,0.75576,0.95275,0.66127,1.22645,1.59627,0.99188,0.000600813,0.000600813,0.000600813
20,17.6395,1.2018,1.02654,1.09211,0.96267,0.79133,0.96975,0.6527,1.24903,1.4966,0.97956,0.000613526,0.000613526,0.000613526
21,18.4664,1.15879,0.96048,1.04171,0.96846,0.82118,0.98419,0.69588,1.18024,1.40265,0.98371,0.000624258,0.000624258,0.000624258
22,19.2927,1.15472,1.03832,1.0655,0.94855,0.83508,0.97476,0.7042,1.1842,1.42807,0.99584,0.00063301,0.00063301,0.00063301
23,20.1338,1.1446,0.98442,1.03513,0.91603,0.85294,0.97271,0.66721,1.16434,1.42552,0.98045,0.000639781,0.000639781,0.000639781
