epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.790192,2.52274,2.89087,1.55808,0.07898,0.33333,0.08542,0.04752,1.64985,2.94614,1.33704,1.667e-05,1.667e-05,1.667e-05
2,1.43811,2.00406,2.55729,1.30181,0.08305,0.33333,0.08344,0.04448,1.62828,3.04831,1.32292,4.90198e-05,4.90198e-05,4.90198e-05
3,2.07394,2.28626,2.85382,1.32519,0.09654,0.33333,0.08532,0.04789,1.68892,3.06588,1.36123,8.00493e-05,8.00493e-05,8.00493e-05
4,2.76917,2.31416,2.86175,1.39577,0.58656,0.94775,0.84426,0.57749,1.06853,1.70807,1.13476,0.000109759,0.000109759,0.000109759
5,3.64649,1.79591,1.64428,1.26972,0.56446,0.77778,0.87223,0.56217,1.04785,3.60422,1.06076,0.000138148,0.000138148,0.000138148
6,4.43422,1.487,1.20573,1.09608,0.7075,0.55556,0.61521,0.30623,1.18238,1.85757,1.09489,0.000165216,0.000165216,0.000165216
7,5.20951,1.42898,1.12272,1.04606,1,0.87875,0.9675,0.56808,1.32213,2.00057,1.10831,0.000190965,0.000190965,0.000190965
8,5.99969,1.49043,1.10756,1.16294,0.9581,0.88889,0.9675,0.57047,1.42026,1.51832,1.15715,0.000215393,0.000215393,0.000215393
9,6.73492,1.331,1.04206,1.07138,1,0.98658,0.995,0.60732,1.31567,1.26812,1.14474,0.000238501,0.000238501,0.000238501
10,7.52256,1.34188,0.99405,1.06459,0.98181,1,0.995,0.62072,1.17364,1.20886,1.10636,0.000260289,0.000260289,0.000260289
11,8.31057,1.42385,0.87033,1.04092,0.93626,1,0.995,0.70259,1.08052,1.34901,1.03939,0.000280756,0.000280756,0.000280756
12,9.09157,1.23872,0.96413,1.04059,0.90078,1,0.995,0.69843,1.0921,1.44905,1.00578,0.000299903,0.000299903,0.000299903
13,9.81924,1.18869,0.88636,1.03693,0.80195,1,0.975,0.62051,1.09177,0.99874,0.96919,0.00031773,0.00031773,0.00031773
14,10.5698,1.40683,0.94843,1.04452,0.87311,0.88889,0.94893,0.65503,1.10537,1.06753,0.95447,0.000334237,0.000334237,0.000334237
15,11.2981,1.18485,0.96517,1.02236,0.88913,1,0.962,0.60306,1.14269,1.00374,0.99925,0.000349423,0.000349423,0.000349423
16,12.0189,1.30718,0.80901,1.02894,0.97164,0.88889,0.984,0.53961,1.40347,1.11631,1.04313,0.000363289,0.000363289,0.000363289
17,12.75,1.34774,0.99669,1.07192,0.88848,0.88889,0.9675,0.52553,1.39309,1.24542,1.09101,0.000375835,0.000375835,0.000375835
18,13.4909,1.38063,0.86258,1.01274,1,0.95889,0.995,0.59435,1.27018,0.96197,1.1016,0.000387061,0.000387061,0.000387061
19,14.2278,1.21647,0.77217,0.97042,0.98127,1,0.995,0.61987,1.32232,0.89546,1.12547,0.000396966,0.000396966,0.000396966
20,14.9662,1.1626,0.87015,0.97333,0.88792,1,0.918,0.535,1.36929,0.85889,1.15404,0.000405551,0.000405551,0.000405551
21,15.7437,1.2163,0.80401,0.96957,0.87723,1,0.929,0.55892,1.37305,0.92638,1.17336,0.000412816,0.000412816,0.000412816
22,16.4993,1.20438,0.69699,0.95566,0.8661,1,0.962,0.57878,1.43096,1.20207,1.1584,0.00041876,0.00041876,0.00041876
23,17.2379,1.1786,0.7879,0.9803,0.86186,1,0.984,0.66326,1.25939,1.22851,1.09178,0.000423385,0.000423385,0.000423385
24,17.9754,1.05375,0.80836,0.93923,0.96898,1,0.995,0.78074,1.02954,0.83092,1.01366,0.000426689,0.000426689,0.000426689
25,18.7601,1.1952,0.72054,0.95596,0.98231,1,0.995,0.79443,0.95746,0.67618,0.99494,0.000428672,0.000428672,0.000428672
26,19.5489,1.03272,0.69768,0.93193,0.98721,1,0.995,0.73195,0.96295,0.63522,1.00259,0.000429336,0.000429336,0.000429336
27,20.2967,1.14561,0.73264,0.98031,0.98828,1,0.995,0.73989,0.99326,0.64024,1.00365,0.000428679,0.000428679,0.000428679
28,21.0321,1.18116,0.78777,0.90866,0.98828,1,0.995,0.73989,0.99326,0.64024,1.00365,0.000426702,0.000426702,0.000426702
29,21.7557,1.04297,0.71665,0.94614,0.98949,1,0.995,0.74502,1.00526,0.60238,1.00044,0.000423405,0.000423405,0.000423405
30,22.4915,1.02712,0.68544,0.9015,0.99126,1,0.995,0.73346,0.93138,0.58636,0.98856,0.000418787,0.000418787,0.000418787
31,23.1884,1.0983,0.68202,0.98726,0.99126,1,0.995,0.73346,0.93138,0.58636,0.98856,0.000412849,0.000412849,0.000412849
32,23.9217,1.06748,0.65394,0.98208,0.99179,1,0.995,0.7507,0.918,0.63185,0.98708,0.000405591,0.000405591,0.000405591
33,24.6858,1.12884,0.74452,0.94175,0.99027,1,0.995,0.74085,0.96035,0.60267,1.00017,0.000397013,0.000397013,0.000397013
34,25.398,1.1327,0.75675,0.94379,0.99027,1,0.995,0.74085,0.96035,0.60267,1.00017,0.000387114,0.000387114,0.000387114
35,26.1282,0.96902,0.60307,0.92867,0.99425,1,0.995,0.75512,0.98432,0.54103,1.00765,0.000375895,0.000375895,0.000375895
36,26.889,1.14887,0.64831,0.98419,0.99458,1,0.995,0.72704,1.06,0.54806,1.01661,0.000363356,0.000363356,0.000363356
37,27.5967,0.90202,0.63763,0.91229,0.99458,1,0.995,0.72704,1.06,0.54806,1.01661,0.000349497,0.000349497,0.000349497
38,28.3361,1.03723,0.68199,0.95956,0.99418,1,0.995,0.74471,1.11901,0.54185,1.01431,0.000334317,0.000334317,0.000334317
39,29.0726,0.99619,0.64955,0.91133,0.99353,1,0.995,0.75462,1.11492,0.52731,1.0149,0.000317817,0.000317817,0.000317817
40,29.7989,1.06793,0.60396,0.91594,0.99353,1,0.995,0.75462,1.11492,0.52731,1.0149,0.000299997,0.000299997,0.000299997
41,30.7671,0.96092,0.60882,0.98559,0.99077,1,0.995,0.76621,1.00899,0.52352,0.9973,0.000280856,0.000280856,0.000280856
42,31.5645,0.80115,0.59164,0.95543,0.9933,1,0.995,0.74415,0.93699,0.53598,0.98351,0.000260395,0.000260395,0.000260395
43,32.3007,0.93904,0.6246,0.97867,0.9933,1,0.995,0.74415,0.93699,0.53598,0.98351,0.000238614,0.000238614,0.000238614
44,33.0442,0.85086,0.57388,0.92097,0.99121,1,0.995,0.77195,0.89754,0.5453,0.97354,0.000215513,0.000215513,0.000215513
