epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.33284,2.37371,3.68038,1.85685,0.00874,0.91111,0.08793,0.04924,1.67571,3.23845,1.36082,6.668e-05,6.668e-05,6.668e-05
2,4.06403,2.0899,3.57971,1.7361,0.01013,0.98889,0.20224,0.11006,1.52855,3.13966,1.19182,0.000147059,0.000147059,0.000147059
3,5.98133,1.84951,3.18303,1.50216,0.00963,0.91667,0.3088,0.18388,1.66731,3.00186,1.26995,0.000224138,0.000224138,0.000224138
4,7.67399,1.77955,2.64809,1.39174,0.00945,0.92778,0.32465,0.18423,1.61544,2.8557,1.22276,0.000297916,0.000297916,0.000297916
5,9.34568,1.76817,2.34942,1.39093,0.75875,0.52778,0.56421,0.34766,1.70426,2.49818,1.2809,0.000368394,0.000368394,0.000368394
6,10.9528,1.77072,2.00563,1.36198,1,0.23986,0.602,0.36486,1.65889,2.32814,1.24538,0.00043557,0.00043557,0.00043557
7,13.0266,1.64349,1.69492,1.29841,0.92478,0.39363,0.59164,0.3566,1.47804,2.20297,1.1471,0.000499447,0.000499447,0.000499447
8,14.7538,1.55871,1.57888,1.29488,0.93224,0.38253,0.62186,0.37936,1.55385,2.12994,1.16853,0.000560022,0.000560022,0.000560022
9,16.4495,1.64017,1.4937,1.29037,0.88004,0.51667,0.62666,0.34872,1.63691,2.03991,1.2651,0.000617297,0.000617297,0.000617297
10,18.0231,1.57466,1.44461,1.2476,0.76466,0.58333,0.59784,0.3405,1.7938,1.75642,1.34764,0.000671271,0.000671271,0.000671271
11,19.8396,1.48131,1.27668,1.21312,0.79294,0.61615,0.67067,0.40695,1.65775,1.58557,1.27927,0.000721944,0.000721944,0.000721944
12,21.5822,1.50737,1.30249,1.22569,0.7401,0.73788,0.73201,0.39968,1.61813,1.56146,1.28465,0.000769317,0.000769317,0.000769317
