epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,23.285,1.48932,1.25197,1.24547,0.73013,0.7858,0.77579,0.44004,1.63588,1.53423,1.30889,0.000813389,0.000813389,0.000813389
14,24.9198,1.55121,1.2906,1.26395,0.70252,0.71462,0.71736,0.45714,1.66865,1.4531,1.35758,0.000854161,0.000854161,0.000854161
15,26.5129,1.50509,1.29061,1.24538,0.62761,0.6942,0.67302,0.3722,1.92171,1.54242,1.50659,0.000891632,0.000891632,0.000891632
16,28.1011,1.48256,1.20312,1.23641,0.72504,0.78389,0.74953,0.40548,1.83705,1.46676,1.44762,0.000925802,0.000925802,0.000925802
17,30.0544,1.47146,1.26526,1.22773,0.68357,0.8439,0.81733,0.45011,1.72122,1.42488,1.36008,0.000956671,0.000956671,0.000956671
18,31.7501,1.47447,1.18693,1.22232,0.68185,0.78889,0.8403,0.43503,1.77188,1.64342,1.4308,0.00098424,0.00098424,0.00098424
19,33.1374,1.43683,1.17316,1.22323,0.72528,0.75819,0.88576,0.43185,1.76608,1.68326,1.43279,0.00100851,0.00100851,0.00100851
20,35.1716,1.41196,1.20556,1.19954,0.68005,0.80729,0.82972,0.44926,1.66709,1.3743,1.36472,0.00102948,0.00102948,0.00102948
21,36.7657,1.46788,1.23082,1.23564,0.69366,0.86667,0.8042,0.43718,1.63176,1.4163,1.32876,0.00100687,0.00100687,0.00100687
22,38.2896,1.39996,1.19755,1.2255,0.72519,0.79998,0.81287,0.44295,1.6433,1.47922,1.31855,0.000973861,0.000973861,0.000973861
23,39.7923,1.40534,1.12097,1.18757,0.8275,0.62778,0.78605,0.4039,1.66336,1.49154,1.31379,0.000940855,0.000940855,0.000940855
24,41.3332,1.45439,1.16049,1.20987,0.91052,0.70031,0.80734,0.46203,1.68933,1.51953,1.3229,0.000907848,0.000907848,0.000907848
25,43.0615,1.35747,1.10297,1.17215,0.83378,0.707,0.81669,0.46576,1.67013,1.49758,1.31507,0.000874842,0.000874842,0.000874842
26,44.607,1.34325,1.12496,1.16816,0.70523,0.66291,0.74004,0.42755,1.62223,1.61671,1.2973,0.000841835,0.000841835,0.000841835
27,46.1588,1.36761,1.07837,1.17934,0.68869,0.52778,0.65746,0.39616,1.568,1.74971,1.30437,0.000808828,0.000808828,0.000808828
28,47.9692,1.31464,1.10484,1.17321,0.60015,0.58889,0.65405,0.39889,1.53757,1.72298,1.35039,0.000775822,0.000775822,0.000775822
29,49.8106,1.41726,1.08626,1.17932,0.65358,0.62038,0.68765,0.42226,1.55132,1.554,1.3553,0.000742815,0.000742815,0.000742815
30,51.3694,1.32945,1.06396,1.16412,0.67603,0.60708,0.72945,0.44075,1.56028,1.4096,1.34516,0.000709809,0.000709809,0.000709809
31,52.7182,1.36966,1.03937,1.18698,0.74424,0.65957,0.77305,0.45209,1.54315,1.31599,1.3186,0.000676802,0.000676802,0.000676802
32,54.6128,1.31354,1.08361,1.14988,0.78993,0.76678,0.85061,0.48585,1.58684,1.2566,1.30453,0.000643795,0.000643795,0.000643795
33,56.4805,1.3053,1.01743,1.14195,0.80621,0.85,0.90101,0.54299,1.55388,1.18274,1.30697,0.000610789,0.000610789,0.000610789
34,58.4711,1.32301,1.01262,1.11644,0.8937,0.81966,0.90858,0.56998,1.47944,1.1509,1.28842,0.000577782,0.000577782,0.000577782
35,60.2438,1.24259,1.01382,1.12852,0.91982,0.83823,0.91314,0.57143,1.45014,1.13363,1.27132,0.000544776,0.000544776,0.000544776
36,62.1436,1.25937,1.03201,1.14513,0.91249,0.83452,0.92329,0.58247,1.40477,1.05998,1.22875,0.000511769,0.000511769,0.000511769
37,63.9471,1.29806,1.02865,1.15038,0.88507,0.74687,0.91112,0.59847,1.40703,1.04042,1.21398,0.000478762,0.000478762,0.000478762
38,65.7099,1.2713,0.96891,1.13075,0.85086,0.81111,0.90787,0.595,1.38456,1.01916,1.20664,0.000445756,0.000445756,0.000445756
39,67.3014,1.2368,0.96062,1.11379,0.85188,0.85743,0.91329,0.61101,1.3866,0.9926,1.20329,0.000412749,0.000412749,0.000412749
40,69.2255,1.20359,0.97798,1.13338,0.8982,0.91533,0.95805,0.62225,1.3746,0.94885,1.21238,0.000379743,0.000379743,0.000379743
41,71.5315,1.20952,1.09789,1.1535,0.80262,0.94362,0.94808,0.62017,1.35976,0.92803,1.19923,0.000346736,0.000346736,0.000346736
42,73.2748,1.12994,1.05191,1.12221,0.90631,0.82222,0.94533,0.62486,1.3523,0.92248,1.18614,0.000313729,0.000313729,0.000313729
43,74.9748,1.15839,1.04691,1.08007,0.91076,0.84698,0.94178,0.63837,1.37989,0.94243,1.19439,0.000280723,0.000280723,0.000280723
44,76.7833,1.07385,1.0086,1.0725,0.95668,0.83333,0.91789,0.61138,1.3932,0.97473,1.19953,0.000247716,0.000247716,0.000247716
45,78.3259,1.12126,1.00169,1.06441,0.94122,0.83333,0.9052,0.61375,1.37319,0.98041,1.18902,0.00021471,0.00021471,0.00021471
46,79.9616,1.05191,0.96339,1.07665,0.93491,0.84113,0.9132,0.62515,1.34378,0.97274,1.17661,0.000181703,0.000181703,0.000181703
47,81.9172,1.10578,1.01188,1.06658,0.92302,0.85132,0.91501,0.63156,1.31722,0.96569,1.16722,0.000148696,0.000148696,0.000148696
48,83.6095,1.04992,0.91299,1.05489,0.93321,0.84444,0.94617,0.63371,1.29491,0.93284,1.15276,0.00011569,0.00011569,0.00011569
49,84.9998,1.04125,0.9316,1.07049,0.93299,0.8751,0.964,0.64821,1.29422,0.91795,1.14824,8.26832e-05,8.26832e-05,8.26832e-05
50,87.0959,1.04647,0.87441,1.03208,0.93236,0.8778,0.96045,0.67014,1.29098,0.91025,1.14807,4.96766e-05,4.96766e-05,4.96766e-05
