epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.0061,2.3259,3.69102,1.86473,0.00984,0.96667,0.07396,0.03409,1.61418,3.32663,1.29471,6.668e-05,6.668e-05,6.668e-05
2,11.6102,2.00757,3.49739,1.66165,0.00949,0.96667,0.25518,0.12399,1.65097,3.21653,1.22174,0.000147059,0.000147059,0.000147059
3,16.8338,1.84488,3.10211,1.50258,0.00956,0.96667,0.39759,0.25616,1.68057,3.09637,1.24422,0.000224138,0.000224138,0.000224138
4,21.4619,1.73127,2.47967,1.41472,0.00934,0.95556,0.43435,0.28941,1.5738,2.93869,1.26607,0.000297916,0.000297916,0.000297916
5,26.818,1.74833,2.13954,1.39212,0.9867,0.26685,0.55771,0.33764,1.59184,2.6858,1.26511,0.000368394,0.000368394,0.000368394
